contract,block,function_name,inputs,outputs,block_timestamp
0x54586be62e3c3580375ae3723c145253060ca0c2,20111003,getAssetPrice,"[""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2""]","[{""name"": """", ""type"": ""uint256"", ""value"": 349950563782}]",2024-06-17 10:47:11
0x54586be62e3c3580375ae3723c145253060ca0c2,20111010,getAssetPrice,"[""0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599""]","[{""name"": """", ""type"": ""uint256"", ""value"": 6561805932095}]",2024-06-17 10:48:35
0x54586be62e3c3580375ae3723c145253060ca0c2,20111010,getAssetPrice,"[""0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99998150}]",2024-06-17 10:48:35
0x54586be62e3c3580375ae3723c145253060ca0c2,20111010,getAssetPrice,"[""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2""]","[{""name"": """", ""type"": ""uint256"", ""value"": 349950563782}]",2024-06-17 10:48:35
0x54586be62e3c3580375ae3723c145253060ca0c2,20111010,getAssetPrice,"[""0xdAC17F958D2ee523a2206206994597C13D831ec7""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99926489}]",2024-06-17 10:48:35
0x54586be62e3c3580375ae3723c145253060ca0c2,20111010,getAssetPrice,"[""0x6B175474E89094C44Da98b954EedeAC495271d0F""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99964459}]",2024-06-17 10:48:35
0x54586be62e3c3580375ae3723c145253060ca0c2,20111010,getAssetPrice,"[""0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984""]","[{""name"": """", ""type"": ""uint256"", ""value"": 1096827100}]",2024-06-17 10:48:35
0x54586be62e3c3580375ae3723c145253060ca0c2,20111010,getAssetPrice,"[""0xba100000625a3754423978a60c9317c58a424e3D""]","[{""name"": """", ""type"": ""uint256"", ""value"": 330010000}]",2024-06-17 10:48:35
0x54586be62e3c3580375ae3723c145253060ca0c2,20111011,getAssetPrice,"[""0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599""]","[{""name"": """", ""type"": ""uint256"", ""value"": 6561805932095}]",2024-06-17 10:48:47
0x54586be62e3c3580375ae3723c145253060ca0c2,20111011,getAssetPrice,"[""0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99998150}]",2024-06-17 10:48:47
0x54586be62e3c3580375ae3723c145253060ca0c2,20111011,getAssetPrice,"[""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2""]","[{""name"": """", ""type"": ""uint256"", ""value"": 349950563782}]",2024-06-17 10:48:47
0x54586be62e3c3580375ae3723c145253060ca0c2,20111011,getAssetPrice,"[""0xdAC17F958D2ee523a2206206994597C13D831ec7""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99926489}]",2024-06-17 10:48:47
0x54586be62e3c3580375ae3723c145253060ca0c2,20111011,getAssetPrice,"[""0x6B175474E89094C44Da98b954EedeAC495271d0F""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99964459}]",2024-06-17 10:48:47
0x54586be62e3c3580375ae3723c145253060ca0c2,20111011,getAssetPrice,"[""0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984""]","[{""name"": """", ""type"": ""uint256"", ""value"": 1096827100}]",2024-06-17 10:48:47
0x54586be62e3c3580375ae3723c145253060ca0c2,20111011,getAssetPrice,"[""0xba100000625a3754423978a60c9317c58a424e3D""]","[{""name"": """", ""type"": ""uint256"", ""value"": 330010000}]",2024-06-17 10:48:47
0x54586be62e3c3580375ae3723c145253060ca0c2,20111012,getAssetPrice,"[""0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599""]","[{""name"": """", ""type"": ""uint256"", ""value"": 6561805932095}]",2024-06-17 10:48:59
0x54586be62e3c3580375ae3723c145253060ca0c2,20111012,getAssetPrice,"[""0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99998150}]",2024-06-17 10:48:59
0x54586be62e3c3580375ae3723c145253060ca0c2,20111012,getAssetPrice,"[""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2""]","[{""name"": """", ""type"": ""uint256"", ""value"": 349950563782}]",2024-06-17 10:48:59
0x54586be62e3c3580375ae3723c145253060ca0c2,20111012,getAssetPrice,"[""0xdAC17F958D2ee523a2206206994597C13D831ec7""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99926489}]",2024-06-17 10:48:59
0x54586be62e3c3580375ae3723c145253060ca0c2,20111012,getAssetPrice,"[""0x6B175474E89094C44Da98b954EedeAC495271d0F""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99964459}]",2024-06-17 10:48:59
0x54586be62e3c3580375ae3723c145253060ca0c2,20111012,getAssetPrice,"[""0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984""]","[{""name"": """", ""type"": ""uint256"", ""value"": 1096827100}]",2024-06-17 10:48:59
0x54586be62e3c3580375ae3723c145253060ca0c2,20111012,getAssetPrice,"[""0xba100000625a3754423978a60c9317c58a424e3D""]","[{""name"": """", ""type"": ""uint256"", ""value"": 330010000}]",2024-06-17 10:48:59
0x54586be62e3c3580375ae3723c145253060ca0c2,20111013,getAssetPrice,"[""0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599""]","[{""name"": """", ""type"": ""uint256"", ""value"": 6561805932095}]",2024-06-17 10:49:11
0x54586be62e3c3580375ae3723c145253060ca0c2,20111003,getAssetPrice,"[""0xdAC17F958D2ee523a2206206994597C13D831ec7""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99926489}]",2024-06-17 10:47:11
0x54586be62e3c3580375ae3723c145253060ca0c2,20111003,getAssetPrice,"[""0x6B175474E89094C44Da98b954EedeAC495271d0F""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99964459}]",2024-06-17 10:47:11
0x54586be62e3c3580375ae3723c145253060ca0c2,20111003,getAssetPrice,"[""0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984""]","[{""name"": """", ""type"": ""uint256"", ""value"": 1096827100}]",2024-06-17 10:47:11
0x54586be62e3c3580375ae3723c145253060ca0c2,20111003,getAssetPrice,"[""0xba100000625a3754423978a60c9317c58a424e3D""]","[{""name"": """", ""type"": ""uint256"", ""value"": 330010000}]",2024-06-17 10:47:11
0x54586be62e3c3580375ae3723c145253060ca0c2,20111004,getAssetPrice,"[""0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599""]","[{""name"": """", ""type"": ""uint256"", ""value"": 6561805932095}]",2024-06-17 10:47:23
0x54586be62e3c3580375ae3723c145253060ca0c2,20111004,getAssetPrice,"[""0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99998150}]",2024-06-17 10:47:23
0x54586be62e3c3580375ae3723c145253060ca0c2,20111004,getAssetPrice,"[""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2""]","[{""name"": """", ""type"": ""uint256"", ""value"": 349950563782}]",2024-06-17 10:47:23
0x54586be62e3c3580375ae3723c145253060ca0c2,20111004,getAssetPrice,"[""0xdAC17F958D2ee523a2206206994597C13D831ec7""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99926489}]",2024-06-17 10:47:23
0x54586be62e3c3580375ae3723c145253060ca0c2,20111004,getAssetPrice,"[""0x6B175474E89094C44Da98b954EedeAC495271d0F""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99964459}]",2024-06-17 10:47:23
0x54586be62e3c3580375ae3723c145253060ca0c2,20111004,getAssetPrice,"[""0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984""]","[{""name"": """", ""type"": ""uint256"", ""value"": 1096827100}]",2024-06-17 10:47:23
0x54586be62e3c3580375ae3723c145253060ca0c2,20111004,getAssetPrice,"[""0xba100000625a3754423978a60c9317c58a424e3D""]","[{""name"": """", ""type"": ""uint256"", ""value"": 330010000}]",2024-06-17 10:47:23
0x54586be62e3c3580375ae3723c145253060ca0c2,20111005,getAssetPrice,"[""0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599""]","[{""name"": """", ""type"": ""uint256"", ""value"": 6561805932095}]",2024-06-17 10:47:35
0x54586be62e3c3580375ae3723c145253060ca0c2,20111005,getAssetPrice,"[""0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99998150}]",2024-06-17 10:47:35
0x54586be62e3c3580375ae3723c145253060ca0c2,20111005,getAssetPrice,"[""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2""]","[{""name"": """", ""type"": ""uint256"", ""value"": 349950563782}]",2024-06-17 10:47:35
0x54586be62e3c3580375ae3723c145253060ca0c2,20111005,getAssetPrice,"[""0xdAC17F958D2ee523a2206206994597C13D831ec7""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99926489}]",2024-06-17 10:47:35
0x54586be62e3c3580375ae3723c145253060ca0c2,20111005,getAssetPrice,"[""0x6B175474E89094C44Da98b954EedeAC495271d0F""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99964459}]",2024-06-17 10:47:35
0x54586be62e3c3580375ae3723c145253060ca0c2,20111005,getAssetPrice,"[""0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984""]","[{""name"": """", ""type"": ""uint256"", ""value"": 1096827100}]",2024-06-17 10:47:35
0x54586be62e3c3580375ae3723c145253060ca0c2,20111005,getAssetPrice,"[""0xba100000625a3754423978a60c9317c58a424e3D""]","[{""name"": """", ""type"": ""uint256"", ""value"": 330010000}]",2024-06-17 10:47:35
0x54586be62e3c3580375ae3723c145253060ca0c2,20111006,getAssetPrice,"[""0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599""]","[{""name"": """", ""type"": ""uint256"", ""value"": 6561805932095}]",2024-06-17 10:47:47
0x54586be62e3c3580375ae3723c145253060ca0c2,20111006,getAssetPrice,"[""0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99998150}]",2024-06-17 10:47:47
0x54586be62e3c3580375ae3723c145253060ca0c2,20111006,getAssetPrice,"[""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2""]","[{""name"": """", ""type"": ""uint256"", ""value"": 349950563782}]",2024-06-17 10:47:47
0x54586be62e3c3580375ae3723c145253060ca0c2,20111006,getAssetPrice,"[""0xdAC17F958D2ee523a2206206994597C13D831ec7""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99926489}]",2024-06-17 10:47:47
0x54586be62e3c3580375ae3723c145253060ca0c2,20111006,getAssetPrice,"[""0x6B175474E89094C44Da98b954EedeAC495271d0F""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99964459}]",2024-06-17 10:47:47
0x54586be62e3c3580375ae3723c145253060ca0c2,20111006,getAssetPrice,"[""0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984""]","[{""name"": """", ""type"": ""uint256"", ""value"": 1096827100}]",2024-06-17 10:47:47
0x54586be62e3c3580375ae3723c145253060ca0c2,20111006,getAssetPrice,"[""0xba100000625a3754423978a60c9317c58a424e3D""]","[{""name"": """", ""type"": ""uint256"", ""value"": 330010000}]",2024-06-17 10:47:47
0x54586be62e3c3580375ae3723c145253060ca0c2,20111007,getAssetPrice,"[""0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599""]","[{""name"": """", ""type"": ""uint256"", ""value"": 6561805932095}]",2024-06-17 10:47:59
0x54586be62e3c3580375ae3723c145253060ca0c2,20111007,getAssetPrice,"[""0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99998150}]",2024-06-17 10:47:59
0x54586be62e3c3580375ae3723c145253060ca0c2,20111007,getAssetPrice,"[""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2""]","[{""name"": """", ""type"": ""uint256"", ""value"": 349950563782}]",2024-06-17 10:47:59
0x54586be62e3c3580375ae3723c145253060ca0c2,20111007,getAssetPrice,"[""0xdAC17F958D2ee523a2206206994597C13D831ec7""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99926489}]",2024-06-17 10:47:59
0x54586be62e3c3580375ae3723c145253060ca0c2,20111007,getAssetPrice,"[""0x6B175474E89094C44Da98b954EedeAC495271d0F""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99964459}]",2024-06-17 10:47:59
0x54586be62e3c3580375ae3723c145253060ca0c2,20111007,getAssetPrice,"[""0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984""]","[{""name"": """", ""type"": ""uint256"", ""value"": 1096827100}]",2024-06-17 10:47:59
0x54586be62e3c3580375ae3723c145253060ca0c2,20111007,getAssetPrice,"[""0xba100000625a3754423978a60c9317c58a424e3D""]","[{""name"": """", ""type"": ""uint256"", ""value"": 330010000}]",2024-06-17 10:47:59
0x54586be62e3c3580375ae3723c145253060ca0c2,20111008,getAssetPrice,"[""0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599""]","[{""name"": """", ""type"": ""uint256"", ""value"": 6561805932095}]",2024-06-17 10:48:11
0x54586be62e3c3580375ae3723c145253060ca0c2,20111008,getAssetPrice,"[""0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99998150}]",2024-06-17 10:48:11
0x54586be62e3c3580375ae3723c145253060ca0c2,20111008,getAssetPrice,"[""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2""]","[{""name"": """", ""type"": ""uint256"", ""value"": 349950563782}]",2024-06-17 10:48:11
0x54586be62e3c3580375ae3723c145253060ca0c2,20111008,getAssetPrice,"[""0xdAC17F958D2ee523a2206206994597C13D831ec7""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99926489}]",2024-06-17 10:48:11
0x54586be62e3c3580375ae3723c145253060ca0c2,20111008,getAssetPrice,"[""0x6B175474E89094C44Da98b954EedeAC495271d0F""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99964459}]",2024-06-17 10:48:11
0x54586be62e3c3580375ae3723c145253060ca0c2,20111008,getAssetPrice,"[""0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984""]","[{""name"": """", ""type"": ""uint256"", ""value"": 1096827100}]",2024-06-17 10:48:11
0x54586be62e3c3580375ae3723c145253060ca0c2,20111008,getAssetPrice,"[""0xba100000625a3754423978a60c9317c58a424e3D""]","[{""name"": """", ""type"": ""uint256"", ""value"": 330010000}]",2024-06-17 10:48:11
0x54586be62e3c3580375ae3723c145253060ca0c2,20111009,getAssetPrice,"[""0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599""]","[{""name"": """", ""type"": ""uint256"", ""value"": 6561805932095}]",2024-06-17 10:48:23
0x54586be62e3c3580375ae3723c145253060ca0c2,20111009,getAssetPrice,"[""0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99998150}]",2024-06-17 10:48:23
0x54586be62e3c3580375ae3723c145253060ca0c2,20111009,getAssetPrice,"[""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2""]","[{""name"": """", ""type"": ""uint256"", ""value"": 349950563782}]",2024-06-17 10:48:23
0x54586be62e3c3580375ae3723c145253060ca0c2,20111009,getAssetPrice,"[""0xdAC17F958D2ee523a2206206994597C13D831ec7""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99926489}]",2024-06-17 10:48:23
0x54586be62e3c3580375ae3723c145253060ca0c2,20111009,getAssetPrice,"[""0x6B175474E89094C44Da98b954EedeAC495271d0F""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99964459}]",2024-06-17 10:48:23
0x54586be62e3c3580375ae3723c145253060ca0c2,20111009,getAssetPrice,"[""0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984""]","[{""name"": """", ""type"": ""uint256"", ""value"": 1096827100}]",2024-06-17 10:48:23
0x54586be62e3c3580375ae3723c145253060ca0c2,20111009,getAssetPrice,"[""0xba100000625a3754423978a60c9317c58a424e3D""]","[{""name"": """", ""type"": ""uint256"", ""value"": 330010000}]",2024-06-17 10:48:23
0x54586be62e3c3580375ae3723c145253060ca0c2,20111020,getAssetPrice,"[""0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599""]","[{""name"": """", ""type"": ""uint256"", ""value"": 6596333525724}]",2024-06-17 10:50:35
0x54586be62e3c3580375ae3723c145253060ca0c2,20111020,getAssetPrice,"[""0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99998150}]",2024-06-17 10:50:35
0x54586be62e3c3580375ae3723c145253060ca0c2,20111020,getAssetPrice,"[""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2""]","[{""name"": """", ""type"": ""uint256"", ""value"": 351808000000}]",2024-06-17 10:50:35
0x54586be62e3c3580375ae3723c145253060ca0c2,20111020,getAssetPrice,"[""0xdAC17F958D2ee523a2206206994597C13D831ec7""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99926489}]",2024-06-17 10:50:35
0x54586be62e3c3580375ae3723c145253060ca0c2,20111020,getAssetPrice,"[""0x6B175474E89094C44Da98b954EedeAC495271d0F""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99964459}]",2024-06-17 10:50:35
0x54586be62e3c3580375ae3723c145253060ca0c2,20111020,getAssetPrice,"[""0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984""]","[{""name"": """", ""type"": ""uint256"", ""value"": 1096827100}]",2024-06-17 10:50:35
0x54586be62e3c3580375ae3723c145253060ca0c2,20111020,getAssetPrice,"[""0xba100000625a3754423978a60c9317c58a424e3D""]","[{""name"": """", ""type"": ""uint256"", ""value"": 330010000}]",2024-06-17 10:50:35
0x54586be62e3c3580375ae3723c145253060ca0c2,20111021,getAssetPrice,"[""0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599""]","[{""name"": """", ""type"": ""uint256"", ""value"": 6596333525724}]",2024-06-17 10:50:47
0x54586be62e3c3580375ae3723c145253060ca0c2,20111021,getAssetPrice,"[""0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99998150}]",2024-06-17 10:50:47
0x54586be62e3c3580375ae3723c145253060ca0c2,20111021,getAssetPrice,"[""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2""]","[{""name"": """", ""type"": ""uint256"", ""value"": 351808000000}]",2024-06-17 10:50:47
0x54586be62e3c3580375ae3723c145253060ca0c2,20111021,getAssetPrice,"[""0xdAC17F958D2ee523a2206206994597C13D831ec7""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99926489}]",2024-06-17 10:50:47
0x54586be62e3c3580375ae3723c145253060ca0c2,20111021,getAssetPrice,"[""0x6B175474E89094C44Da98b954EedeAC495271d0F""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99964459}]",2024-06-17 10:50:47
0x54586be62e3c3580375ae3723c145253060ca0c2,20111021,getAssetPrice,"[""0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984""]","[{""name"": """", ""type"": ""uint256"", ""value"": 1096827100}]",2024-06-17 10:50:47
0x54586be62e3c3580375ae3723c145253060ca0c2,20111021,getAssetPrice,"[""0xba100000625a3754423978a60c9317c58a424e3D""]","[{""name"": """", ""type"": ""uint256"", ""value"": 330010000}]",2024-06-17 10:50:47
0x54586be62e3c3580375ae3723c145253060ca0c2,20111022,getAssetPrice,"[""0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599""]","[{""name"": """", ""type"": ""uint256"", ""value"": 6596333525724}]",2024-06-17 10:50:59
0x54586be62e3c3580375ae3723c145253060ca0c2,20111022,getAssetPrice,"[""0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99998150}]",2024-06-17 10:50:59
0x54586be62e3c3580375ae3723c145253060ca0c2,20111022,getAssetPrice,"[""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2""]","[{""name"": """", ""type"": ""uint256"", ""value"": 351808000000}]",2024-06-17 10:50:59
0x54586be62e3c3580375ae3723c145253060ca0c2,20111022,getAssetPrice,"[""0xdAC17F958D2ee523a2206206994597C13D831ec7""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99926489}]",2024-06-17 10:50:59
0x54586be62e3c3580375ae3723c145253060ca0c2,20111022,getAssetPrice,"[""0x6B175474E89094C44Da98b954EedeAC495271d0F""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99964459}]",2024-06-17 10:50:59
0x54586be62e3c3580375ae3723c145253060ca0c2,20111022,getAssetPrice,"[""0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984""]","[{""name"": """", ""type"": ""uint256"", ""value"": 1096827100}]",2024-06-17 10:50:59
0x54586be62e3c3580375ae3723c145253060ca0c2,20111022,getAssetPrice,"[""0xba100000625a3754423978a60c9317c58a424e3D""]","[{""name"": """", ""type"": ""uint256"", ""value"": 330010000}]",2024-06-17 10:50:59
0x54586be62e3c3580375ae3723c145253060ca0c2,20111023,getAssetPrice,"[""0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599""]","[{""name"": """", ""type"": ""uint256"", ""value"": 6596333525724}]",2024-06-17 10:51:11
0x54586be62e3c3580375ae3723c145253060ca0c2,20111023,getAssetPrice,"[""0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99998150}]",2024-06-17 10:51:11
0x54586be62e3c3580375ae3723c145253060ca0c2,20111023,getAssetPrice,"[""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2""]","[{""name"": """", ""type"": ""uint256"", ""value"": 351808000000}]",2024-06-17 10:51:11
0x54586be62e3c3580375ae3723c145253060ca0c2,20111023,getAssetPrice,"[""0xdAC17F958D2ee523a2206206994597C13D831ec7""]","[{""name"": """", ""type"": ""uint256"", ""value"": 99926489}]",2024-06-17 10:51:11
